resnet50
epoch	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	0.700000	0.785000	0.887500	0.845000	0.715000	0.835000	0.875000	0.950000	0.502500	0.895000	0.832500	0.740000	0.637500	0.652500	0.835000	0.600000	0.727500	0.865000	0.820000	0.672500	
1	0.785000	0.887500	0.892500	0.800000	0.825000	0.842500	0.827500	0.755000	0.720000	0.932500	0.862500	0.880000	0.700000	0.670000	0.640000	0.662500	0.425000	0.800000	0.895000	0.595000	
2	0.752500	0.865000	0.902500	0.790000	0.760000	0.847500	0.740000	0.920000	0.750000	0.837500	0.775000	0.827500	0.820000	0.762500	0.815000	0.737500	0.750000	0.912500	0.822500	0.672500	
3	0.785000	0.867500	0.887500	0.822500	0.815000	0.885000	0.862500	0.880000	0.615000	0.840000	0.867500	0.977500	0.780000	0.795000	0.805000	0.722500	0.687500	0.887500	0.912500	0.710000	
4	0.905000	0.805000	0.882500	0.852500	0.870000	0.920000	0.817500	0.797500	0.670000	0.897500	0.832500	0.882500	0.715000	0.755000	0.720000	0.695000	0.687500	0.887500	0.852500	0.755000	
5	0.812500	0.897500	0.917500	0.955000	0.837500	0.870000	0.857500	0.892500	0.840000	0.792500	0.862500	0.755000	0.772500	0.720000	0.865000	0.690000	0.600000	0.850000	0.850000	0.830000	
6	0.647500	0.932500	0.847500	0.732500	0.967500	0.852500	0.897500	0.862500	0.635000	0.867500	0.885000	0.910000	0.732500	0.720000	0.837500	0.762500	0.762500	0.825000	0.887500	0.732500	
7	0.715000	0.827500	0.905000	0.912500	0.872500	0.905000	0.885000	0.887500	0.777500	0.900000	0.835000	0.805000	0.892500	0.740000	0.870000	0.660000	0.702500	0.840000	0.867500	0.765000	
8	0.735000	0.945000	0.922500	0.880000	0.932500	0.862500	0.792500	0.870000	0.800000	0.945000	0.840000	0.850000	0.805000	0.710000	0.865000	0.800000	0.742500	0.852500	0.860000	0.692500	
9	0.822500	0.805000	0.907500	0.937500	0.910000	0.882500	0.905000	1.002500	0.835000	0.915000	0.765000	0.752500	0.827500	0.625000	0.857500	0.560000	0.655000	0.870000	0.830000	0.767500	
10	0.782500	0.850000	0.875000	0.912500	0.940000	0.907500	0.867500	0.970000	0.772500	0.897500	0.872500	0.877500	0.775000	0.712500	0.875000	0.730000	0.720000	0.840000	0.865000	0.722500	
11	0.782500	0.877500	0.872500	0.922500	0.937500	0.872500	0.857500	0.930000	0.840000	0.865000	0.855000	0.835000	0.795000	0.697500	0.847500	0.822500	0.660000	0.897500	0.850000	0.815000	
12	0.730000	0.930000	0.922500	0.932500	0.842500	0.937500	0.820000	0.930000	0.772500	0.830000	0.867500	0.820000	0.807500	0.705000	0.797500	0.775000	0.830000	0.880000	0.825000	0.807500	
13	0.730000	0.900000	0.860000	0.937500	0.920000	0.895000	0.845000	0.925000	0.762500	0.820000	0.877500	0.790000	0.655000	0.760000	0.872500	0.835000	0.770000	0.900000	0.825000	0.815000	
14	0.780000	0.810000	0.932500	0.897500	0.897500	0.915000	0.875000	0.925000	0.710000	0.837500	0.857500	0.870000	0.777500	0.732500	0.810000	0.730000	0.852500	0.915000	0.822500	0.817500	
15	0.827500	0.932500	0.932500	0.945000	0.940000	0.912500	0.902500	0.945000	0.805000	0.907500	0.890000	0.917500	0.842500	0.832500	0.875000	0.800000	0.822500	0.897500	0.860000	0.827500	
16	0.802500	0.955000	0.920000	0.970000	0.945000	0.905000	0.890000	0.960000	0.805000	0.915000	0.885000	0.900000	0.857500	0.835000	0.877500	0.790000	0.807500	0.910000	0.887500	0.815000	
17	0.830000	0.955000	0.922500	0.952500	0.940000	0.922500	0.890000	0.952500	0.812500	0.905000	0.875000	0.920000	0.860000	0.840000	0.860000	0.807500	0.820000	0.890000	0.880000	0.815000	
18	0.825000	0.947500	0.935000	0.955000	0.947500	0.922500	0.892500	0.950000	0.827500	0.915000	0.890000	0.907500	0.847500	0.842500	0.867500	0.790000	0.827500	0.897500	0.887500	0.807500	
19	0.792500	0.950000	0.922500	0.945000	0.952500	0.920000	0.897500	0.970000	0.815000	0.925000	0.877500	0.920000	0.855000	0.817500	0.870000	0.835000	0.817500	0.895000	0.887500	0.820000	
20	0.812500	0.962500	0.940000	0.925000	0.950000	0.917500	0.897500	0.960000	0.820000	0.915000	0.867500	0.900000	0.855000	0.835000	0.872500	0.827500	0.817500	0.910000	0.892500	0.817500	
21	0.797500	0.960000	0.930000	0.940000	0.952500	0.925000	0.897500	0.960000	0.817500	0.910000	0.885000	0.912500	0.852500	0.842500	0.875000	0.800000	0.822500	0.902500	0.880000	0.830000	
22	0.815000	0.982500	0.922500	0.945000	0.950000	0.912500	0.902500	0.947500	0.807500	0.915000	0.887500	0.920000	0.852500	0.815000	0.862500	0.820000	0.815000	0.907500	0.885000	0.822500	
23	0.807500	0.965000	0.937500	0.962500	0.942500	0.920000	0.902500	0.945000	0.825000	0.902500	0.887500	0.885000	0.855000	0.840000	0.875000	0.827500	0.822500	0.905000	0.882500	0.835000	
24	0.817500	0.950000	0.935000	0.945000	0.942500	0.917500	0.900000	0.965000	0.820000	0.920000	0.882500	0.890000	0.857500	0.832500	0.870000	0.822500	0.820000	0.910000	0.895000	0.835000	
25	0.810000	0.957500	0.925000	0.942500	0.950000	0.925000	0.897500	0.955000	0.817500	0.917500	0.885000	0.917500	0.862500	0.830000	0.867500	0.825000	0.815000	0.912500	0.877500	0.830000	
26	0.802500	0.932500	0.920000	0.950000	0.947500	0.932500	0.897500	0.955000	0.825000	0.907500	0.882500	0.917500	0.862500	0.835000	0.872500	0.830000	0.822500	0.902500	0.882500	0.842500	
27	0.815000	0.967500	0.930000	0.957500	0.952500	0.917500	0.895000	0.947500	0.812500	0.912500	0.885000	0.920000	0.855000	0.822500	0.862500	0.812500	0.822500	0.910000	0.895000	0.830000	
28	0.807500	0.947500	0.930000	0.942500	0.950000	0.902500	0.895000	0.965000	0.812500	0.897500	0.895000	0.895000	0.870000	0.837500	0.872500	0.830000	0.827500	0.907500	0.897500	0.827500	
29	0.812500	0.965000	0.925000	0.955000	0.952500	0.917500	0.905000	0.945000	0.817500	0.907500	0.892500	0.920000	0.860000	0.842500	0.867500	0.822500	0.812500	0.900000	0.895000	0.830000	
30	0.812500	0.957500	0.935000	0.945000	0.950000	0.932500	0.900000	0.957500	0.825000	0.907500	0.885000	0.890000	0.850000	0.855000	0.877500	0.815000	0.825000	0.905000	0.885000	0.835000	
31	0.815000	0.962500	0.920000	0.950000	0.947500	0.930000	0.900000	0.950000	0.817500	0.915000	0.882500	0.905000	0.865000	0.840000	0.880000	0.810000	0.812500	0.902500	0.892500	0.830000	
32	0.815000	0.965000	0.940000	0.960000	0.945000	0.927500	0.897500	0.952500	0.822500	0.902500	0.892500	0.920000	0.867500	0.835000	0.877500	0.810000	0.825000	0.902500	0.882500	0.815000	
33	0.822500	0.950000	0.935000	0.932500	0.947500	0.915000	0.892500	0.960000	0.820000	0.905000	0.885000	0.935000	0.860000	0.845000	0.877500	0.820000	0.825000	0.912500	0.895000	0.825000	
34	0.825000	0.947500	0.925000	0.962500	0.947500	0.920000	0.900000	0.955000	0.810000	0.915000	0.885000	0.930000	0.862500	0.830000	0.882500	0.810000	0.832500	0.902500	0.877500	0.842500	
35	0.817500	0.942500	0.925000	0.960000	0.945000	0.925000	0.902500	0.960000	0.822500	0.907500	0.885000	0.930000	0.860000	0.827500	0.877500	0.825000	0.812500	0.905000	0.885000	0.842500	
36	0.810000	0.962500	0.927500	0.942500	0.952500	0.915000	0.902500	0.967500	0.827500	0.905000	0.885000	0.900000	0.862500	0.837500	0.880000	0.810000	0.832500	0.912500	0.875000	0.842500	
37	0.805000	0.962500	0.935000	0.945000	0.942500	0.915000	0.897500	0.962500	0.822500	0.907500	0.890000	0.907500	0.865000	0.842500	0.870000	0.822500	0.817500	0.905000	0.895000	0.822500	
38	0.820000	0.965000	0.935000	0.942500	0.957500	0.912500	0.912500	0.957500	0.822500	0.910000	0.890000	0.915000	0.857500	0.822500	0.872500	0.815000	0.827500	0.905000	0.887500	0.837500	
39	0.817500	0.970000	0.942500	0.942500	0.952500	0.925000	0.900000	0.965000	0.807500	0.915000	0.882500	0.907500	0.862500	0.837500	0.862500	0.817500	0.810000	0.907500	0.885000	0.835000	
40	0.817500	0.950000	0.930000	0.960000	0.947500	0.915000	0.900000	0.960000	0.822500	0.917500	0.885000	0.932500	0.857500	0.822500	0.877500	0.825000	0.812500	0.907500	0.892500	0.832500	
41	0.810000	0.957500	0.925000	0.965000	0.955000	0.922500	0.902500	0.947500	0.832500	0.917500	0.890000	0.905000	0.857500	0.825000	0.885000	0.822500	0.817500	0.905000	0.882500	0.840000	
42	0.807500	0.955000	0.935000	0.942500	0.950000	0.920000	0.895000	0.962500	0.827500	0.922500	0.882500	0.920000	0.860000	0.825000	0.875000	0.822500	0.825000	0.897500	0.895000	0.825000	
43	0.827500	0.942500	0.925000	0.962500	0.957500	0.920000	0.900000	0.962500	0.820000	0.910000	0.885000	0.907500	0.860000	0.822500	0.872500	0.825000	0.817500	0.900000	0.897500	0.820000	
44	0.810000	0.945000	0.940000	0.945000	0.950000	0.927500	0.900000	0.950000	0.827500	0.902500	0.882500	0.910000	0.872500	0.830000	0.872500	0.820000	0.832500	0.907500	0.877500	0.847500	
45	0.820000	0.947500	0.930000	0.942500	0.950000	0.935000	0.897500	0.957500	0.820000	0.910000	0.887500	0.907500	0.860000	0.840000	0.877500	0.812500	0.825000	0.892500	0.890000	0.835000	
