resnet34
epoch	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0	0.625000	0.672500	0.877500	0.847500	0.855000	0.917500	0.752500	0.920000	0.877500	0.877500	0.850000	0.707500	0.617500	0.605000	0.870000	0.867500	0.522500	0.747500	0.915000	0.662500	
1	0.757500	0.782500	0.890000	0.900000	0.945000	0.880000	0.852500	0.712500	0.567500	0.862500	0.882500	0.980000	0.862500	0.607500	0.875000	0.797500	0.700000	0.867500	0.810000	0.742500	
2	0.715000	0.915000	0.865000	0.915000	0.920000	0.945000	0.847500	0.945000	0.720000	0.927500	0.865000	0.867500	0.797500	0.805000	0.835000	0.730000	0.785000	0.865000	0.900000	0.710000	
3	0.822500	0.902500	0.842500	0.952500	0.925000	0.907500	0.910000	0.872500	0.747500	0.882500	0.842500	0.925000	0.777500	0.692500	0.885000	0.742500	0.692500	0.892500	0.912500	0.730000	
4	0.667500	0.980000	0.920000	0.800000	0.900000	0.935000	0.835000	0.892500	0.820000	0.895000	0.877500	0.755000	0.850000	0.787500	0.857500	0.707500	0.800000	0.902500	0.827500	0.852500	
5	0.770000	0.925000	0.932500	0.965000	0.767500	0.922500	0.870000	0.872500	0.797500	0.927500	0.850000	0.940000	0.812500	0.855000	0.877500	0.750000	0.660000	0.865000	0.925000	0.747500	
6	0.750000	0.910000	0.925000	0.882500	0.910000	0.910000	0.912500	0.880000	0.805000	0.897500	0.877500	0.907500	0.850000	0.767500	0.865000	0.767500	0.772500	0.902500	0.877500	0.790000	
7	0.832500	0.905000	0.915000	0.930000	0.937500	0.932500	0.875000	0.885000	0.752500	0.845000	0.845000	0.882500	0.880000	0.755000	0.870000	0.817500	0.737500	0.900000	0.880000	0.855000	
8	0.775000	0.920000	0.927500	0.932500	0.910000	0.942500	0.875000	0.967500	0.820000	0.937500	0.865000	0.892500	0.907500	0.750000	0.855000	0.732500	0.782500	0.887500	0.907500	0.742500	
9	0.785000	0.885000	0.912500	0.992500	0.942500	0.905000	0.862500	0.950000	0.772500	0.920000	0.862500	0.917500	0.830000	0.697500	0.862500	0.835000	0.775000	0.895000	0.860000	0.842500	
10	0.862500	0.840000	0.927500	0.965000	0.927500	0.945000	0.855000	0.942500	0.822500	0.887500	0.855000	0.887500	0.817500	0.745000	0.892500	0.827500	0.785000	0.875000	0.880000	0.832500	
