resnet18
epoch	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
30	0.692500	0.725000	0.865000	0.797500	0.817500	0.795000	0.832500	0.770000	0.722500	0.857500	0.890000	0.687500	0.682500	0.650000	0.805000	0.570000	0.647500	0.935000	0.812500	0.707500	
31	0.705000	0.735000	0.867500	0.822500	0.822500	0.772500	0.835000	0.782500	0.730000	0.847500	0.910000	0.670000	0.662500	0.670000	0.842500	0.542500	0.652500	0.910000	0.817500	0.717500	
32	0.705000	0.660000	0.897500	0.867500	0.845000	0.747500	0.847500	0.767500	0.712500	0.832500	0.895000	0.672500	0.665000	0.675000	0.842500	0.605000	0.640000	0.925000	0.775000	0.757500	
33	0.717500	0.697500	0.900000	0.797500	0.810000	0.780000	0.830000	0.747500	0.722500	0.850000	0.902500	0.730000	0.702500	0.670000	0.865000	0.547500	0.607500	0.917500	0.807500	0.727500	
34	0.685000	0.705000	0.887500	0.795000	0.845000	0.772500	0.815000	0.755000	0.707500	0.850000	0.905000	0.710000	0.710000	0.640000	0.830000	0.542500	0.637500	0.917500	0.787500	0.752500	
35	0.687500	0.702500	0.920000	0.790000	0.845000	0.780000	0.840000	0.790000	0.697500	0.842500	0.917500	0.702500	0.667500	0.667500	0.835000	0.575000	0.672500	0.920000	0.810000	0.725000	
36	0.677500	0.675000	0.887500	0.807500	0.825000	0.782500	0.840000	0.762500	0.710000	0.862500	0.885000	0.715000	0.660000	0.640000	0.855000	0.622500	0.697500	0.917500	0.797500	0.727500	
37	0.697500	0.695000	0.902500	0.800000	0.830000	0.790000	0.835000	0.750000	0.727500	0.862500	0.915000	0.687500	0.685000	0.625000	0.845000	0.580000	0.655000	0.922500	0.812500	0.720000	
38	0.732500	0.705000	0.882500	0.790000	0.837500	0.782500	0.830000	0.780000	0.715000	0.842500	0.880000	0.670000	0.670000	0.662500	0.815000	0.582500	0.647500	0.922500	0.785000	0.735000	
39	0.680000	0.707500	0.885000	0.792500	0.837500	0.787500	0.847500	0.762500	0.725000	0.845000	0.902500	0.662500	0.672500	0.652500	0.865000	0.570000	0.617500	0.920000	0.770000	0.692500	
40	0.697500	0.720000	0.887500	0.825000	0.830000	0.775000	0.837500	0.730000	0.717500	0.855000	0.900000	0.662500	0.672500	0.670000	0.855000	0.612500	0.642500	0.920000	0.805000	0.705000	
41	0.685000	0.720000	0.905000	0.807500	0.820000	0.762500	0.837500	0.742500	0.712500	0.865000	0.892500	0.720000	0.662500	0.665000	0.835000	0.612500	0.632500	0.920000	0.812500	0.727500	
42	0.690000	0.702500	0.890000	0.807500	0.802500	0.780000	0.842500	0.782500	0.722500	0.850000	0.867500	0.722500	0.670000	0.662500	0.845000	0.562500	0.655000	0.920000	0.817500	0.735000	
43	0.680000	0.745000	0.912500	0.795000	0.827500	0.780000	0.837500	0.770000	0.725000	0.852500	0.880000	0.705000	0.682500	0.657500	0.865000	0.582500	0.655000	0.915000	0.812500	0.730000	
44	0.682500	0.715000	0.917500	0.815000	0.845000	0.772500	0.830000	0.762500	0.710000	0.852500	0.915000	0.707500	0.682500	0.655000	0.837500	0.572500	0.672500	0.925000	0.807500	0.725000	
45	0.712500	0.712500	0.897500	0.795000	0.830000	0.770000	0.850000	0.762500	0.727500	0.855000	0.905000	0.695000	0.655000	0.675000	0.842500	0.595000	0.667500	0.925000	0.802500	0.725000	
46	0.682500	0.707500	0.902500	0.802500	0.820000	0.775000	0.845000	0.775000	0.710000	0.857500	0.882500	0.725000	0.650000	0.657500	0.862500	0.615000	0.660000	0.907500	0.805000	0.740000	
47	0.680000	0.710000	0.907500	0.800000	0.820000	0.765000	0.827500	0.797500	0.747500	0.847500	0.895000	0.692500	0.665000	0.675000	0.862500	0.572500	0.665000	0.935000	0.805000	0.722500	
48	0.682500	0.742500	0.895000	0.797500	0.825000	0.777500	0.847500	0.772500	0.702500	0.857500	0.897500	0.692500	0.697500	0.657500	0.850000	0.617500	0.667500	0.922500	0.815000	0.707500	
49	0.695000	0.732500	0.895000	0.812500	0.817500	0.775000	0.850000	0.775000	0.707500	0.852500	0.887500	0.705000	0.687500	0.650000	0.860000	0.597500	0.677500	0.917500	0.820000	0.745000	
mean:	0.237000	0.316250	0.351625	0.387125	0.455875	0.439125	0.439125	0.476125	0.447625	0.493625	0.516250	0.534625	0.497000	0.502375	0.472250	0.520625	0.509875	0.549000	0.453250	0.518000	
