ResNet18
epoch: 1 loss: 2.4604560698509217  cross_accuracy: 0.2817492012779553
epoch: 2 loss: 2.2116919162750244  cross_accuracy: 0.3018170926517572
epoch: 3 loss: 2.082840263271332  cross_accuracy: 0.3275758785942492
epoch: 4 loss: 1.9889744389533996  cross_accuracy: 0.37440095846645366
epoch: 5 loss: 1.9227526918411255  cross_accuracy: 0.35163738019169327
epoch: 6 loss: 1.8664913661003113  cross_accuracy: 0.41733226837060705
epoch: 7 loss: 1.8144555241584779  cross_accuracy: 0.4082468051118211
epoch: 8 loss: 1.7724229160308838  cross_accuracy: 0.43979632587859424
epoch: 9 loss: 1.728792297077179  cross_accuracy: 0.42801517571884984
epoch: 10 loss: 1.6932345425128936  cross_accuracy: 0.44678514376996803
epoch: 11 loss: 1.6547751690864563  cross_accuracy: 0.441194089456869
epoch: 12 loss: 1.6256138147830963  cross_accuracy: 0.40684904153354634
epoch: 13 loss: 1.5898389788627625  cross_accuracy: 0.46845047923322686
epoch: 14 loss: 1.5562713269233703  cross_accuracy: 0.477935303514377
epoch: 15 loss: 1.5284487548351289  cross_accuracy: 0.4516773162939297
epoch: 16 loss: 1.5002911505699157  cross_accuracy: 0.4915135782747604
epoch: 17 loss: 1.4721893713474274  cross_accuracy: 0.49550718849840253
epoch: 18 loss: 1.4422482193946837  cross_accuracy: 0.4984025559105431
epoch: 19 loss: 1.4233573795318604  cross_accuracy: 0.5052915335463258
epoch: 20 loss: 1.3938939874649048  cross_accuracy: 0.5158746006389776
epoch: 21 loss: 1.3713715490341187  cross_accuracy: 0.4958067092651757
epoch: 22 loss: 1.3520309409618378  cross_accuracy: 0.4928115015974441
epoch: 23 loss: 1.324074121618271  cross_accuracy: 0.5173722044728435
epoch: 24 loss: 1.307656712961197  cross_accuracy: 0.512779552715655
epoch: 25 loss: 1.294231765270233  cross_accuracy: 0.5285543130990416
epoch: 26 loss: 1.266520865392685  cross_accuracy: 0.5253594249201278
epoch: 27 loss: 1.2556725259780883  cross_accuracy: 0.5406349840255591
epoch: 28 loss: 1.2266066504478454  cross_accuracy: 0.5412340255591054
epoch: 29 loss: 1.204485408449173  cross_accuracy: 0.5173722044728435
epoch: 30 loss: 1.1932484224319457  cross_accuracy: 0.5353434504792333
Done!
The max accuracy is 0.541234, when epoch is 28.
